validity_id,scenario_id,metric_key,check_type,check_description,check_result,value_or_status,risk_level,explanation,requires_disclaimer,disclaimer_text
V_S01_01,S01,review_score,BOUNDED,Score value within [1.0, 5.0],PASS,4.265 is within bounds,LOW,Simulated score 4.265 is within valid 1-5 range,false,
V_S01_02,S01,review_score,EXTRAPOLATION,Result based on correlation extrapolation beyond observed range,WARNING,Correlation-based (-0.267),MEDIUM,Uses Phase 4 observed delay_score correlation; actual intervention impact may differ,true,"⚠️ 基于历史相关性推演，不代表严格因果关系"
V_S01_03,S01,review_score,DENOMINATOR,Risk of denominator ambiguity in metric interpretation,PASS,No ambiguity,LOW,Score metric is self-contained; no denominator risk,false,
V_S02_01,S02,review_score,BOUNDED,Score value within [1.0, 5.0],PASS,4.460 is within bounds (was 5.015 raw),LOW,Calibrated result 4.460 within valid range; raw 5.015 was clamped,false,
V_S02_02,S02,review_score,EXTRAPOLATION,Result based on correlation extrapolation beyond observed range,WARNING,Correlation-based (-0.334),HIGH,Uses strongest correlation (-0.334) from Phase 4; conservative cap applied. Actual impact may be smaller.,true,"⚠️ 基于历史相关性推演，不代表严格因果关系。原始估算5.015已截断为4.460"
V_S02_03,S02,review_score,DENOMINATOR,Risk of denominator ambiguity in metric interpretation,PASS,No ambiguity,LOW,Score metric is self-contained; calibrated conservatively,false,
V_S07_01,S07,overall_score_impact,BOUNDED,Impact value reasonable and within expected range,PASS,+0.032 is marginal,LOW,Small positive impact is reasonable given 18% state weight,false,
V_S07_02,S07,overall_score_impact,EXTRAPOLATION,Result based on correlation extrapolation beyond observed range,PASS,No extrapolation,LOW,Uses approximation rather than correlation extrapolation,false,
V_S07_03,S07,overall_score_impact,DENOMINATOR,Risk of denominator ambiguity in metric interpretation,WARNING,State order weights estimated,MEDIUM,18% state order weight is an estimate; actual impact depends on real order distribution,true,"⚠️ 各州订单权重(18%)为估算值。实际影响取决于真实订单分布"
V_S08_01,S08,seller_activation_rate,BOUNDED,Percentage within [0%, 100%],PASS,55.0% is within bounds,LOW,55% activation is within valid percentage range,false,
V_S08_02,S08,seller_activation_rate,EXTRAPOLATION,Result based on correlation extrapolation beyond observed range,PASS,Arithmetic calculation,LOW,Direct arithmetic; no correlation extrapolation used,false,
V_S08_03,S08,seller_activation_rate,DENOMINATOR,Risk of denominator ambiguity in metric interpretation,WARNING,Must distinguish closed seller GMV vs platform GMV,HIGH,Result R$169,454 is 21.8% of closed seller GMV but only 1.26% of platform GMV; easy to misinterpret,true,"⚠️ R$169,454仅为漏斗成交商家GMV的21.8%，占全平台GMV仅1.26%。必须明确分母口径"
