origin,Seller_Count,Sellers_with_Orders,Total_GMV,Avg_Order_Count,Avg_GMV,Activation_Rate%,Conversion_Rate%,High_Conversion,High_Value,Channel_Type
direct_traffic,56,31,27549.8,6.23,491.96,55.36,11.22,True,False,High Conversion + Low Value
display,6,2,1207.95,3.5,201.32,33.33,5.08,False,False,Low Conversion + Low Value
email,15,6,9122.41,3.67,608.16,40.0,3.04,False,False,Low Conversion + Low Value
organic_search,271,113,235956.58,10.69,870.69,41.7,11.8,True,True,High Conversion + High Value
other,4,2,8766.63,44.5,2191.66,50.0,2.67,False,True,Low Sample Size
other_publicities,3,0,0.0,,0.0,0.0,4.62,False,False,Low Conversion + Low Value
paid_search,195,101,182000.06,12.35,933.33,51.79,12.3,True,True,High Conversion + High Value
referral,24,9,19687.84,7.67,820.33,37.5,8.45,True,True,High Conversion + High Value
social,75,31,51363.47,12.65,684.85,41.33,5.56,False,False,Low Conversion + Low Value
unknown,179,81,238763.4,15.8,1333.87,45.25,16.29,True,True,Data Missing (Excluded from Top)
