origin,Lead_Count,Converted,Conversion_Rate,Conversion_Rate%
unknown,1099,179,0.16287534121929026,16.287534121929028
paid_search,1586,195,0.12295081967213115,12.295081967213115
organic_search,2296,271,0.11803135888501742,11.803135888501743
direct_traffic,499,56,0.11222444889779559,11.22244488977956
referral,284,24,0.08450704225352113,8.450704225352112
social,1350,75,0.05555555555555555,5.555555555555555
display,118,6,0.05084745762711865,5.084745762711865
other_publicities,65,3,0.046153846153846156,4.615384615384616
email,493,15,0.030425963488843813,3.0425963488843815
other,150,4,0.02666666666666667,2.666666666666667
