State,Orders,Unique_Buyers,GMV,AOV,GMV_Contribution%,Orders_Contribution%
SP,41746,40302,5998226.96,143.68731488801055,37.47,41.98
RJ,12852,12384,2144379.69,166.85182773109244,13.39,12.92
MG,11635,11259,1872257.26,160.9159656209712,11.7,11.7
RS,5466,5277,890898.54,162.98912184412734,5.57,5.5
PR,5045,4882,811156.38,160.78421803766105,5.07,5.07
SC,3637,3534,623086.43,171.31878746219414,3.89,3.66
BA,3380,3277,616645.82,182.43959171597632,3.85,3.4
DF,2140,2075,355141.08,165.95377570093459,2.22,2.15
GO,2020,1952,350092.31,173.31302475247526,2.19,2.03
ES,2033,1964,325967.55,160.3381947860305,2.04,2.04
PE,1652,1609,324850.44,196.64070217917677,2.03,1.66
CE,1336,1313,279464.03,209.17966317365273,1.75,1.34
PA,975,949,218295.85,223.89317948717948,1.36,0.98
MT,907,876,187029.29,206.20649393605294,1.17,0.91
MA,747,726,152523.02,204.18074966532797,0.95,0.75
PB,536,519,141545.72,264.07783582089553,0.88,0.54
MS,715,694,137534.84,192.35641958041958,0.86,0.72
PI,495,482,108523.97,219.24034343434343,0.68,0.5
RN,485,474,102718.13,211.7899587628866,0.64,0.49
AL,413,401,96962.06,234.7749636803874,0.61,0.42
SE,350,342,75246.25,214.98928571428573,0.47,0.35
TO,280,273,61485.33,219.5904642857143,0.38,0.28
RO,253,240,60866.2,240.5778656126482,0.38,0.25
AM,148,143,27966.93,188.96574324324325,0.17,0.15
AC,81,77,19680.62,242.97061728395062,0.12,0.08
AP,68,67,16262.8,239.15882352941176,0.1,0.07
RR,46,45,10064.62,218.79608695652175,0.06,0.05
