Scenario_ID,Scenario_Name,Category,Input_Variable,Input_Assumption,Change_Direction,Impacted_Metrics,Impact_Direction,Data_Support,Can_Quantify,Extra_Data_Needed,Priority_for_Sandbox
S01,Late Delivery Optimization,Fulfillment,late_delivery_rate,Reduce from 8.11% to 4%,Decrease,review_score; repeat_purchase; customer_retention,Positive,Direct (Phase 4: late rate impact on scores),Yes,,HIGH
S02,Delivery Time Reduction,Fulfillment,delivery_total_days,Reduce mean from 12.56 to 10 days,Decrease,review_score; cancel_rate; seller_rating,Positive,Direct (Phase 4: correlation -0.334),Yes,,HIGH
S03,Paid Search Investment Expansion,Marketing,marketing_channel_conversion,Increase paid_search conversion from 12.3% to 15%,Increase,seller_activation; total_GMV; channel_ROI,Positive,Direct (Phase 5: channel quality data),Yes,Marketing spend data,MEDIUM
S04,Organic Search Conversion Optimization,Marketing,marketing_channel_conversion,Increase organic_search conversion from 11.8% to 14%,Increase,seller_activation; total_GMV; CAC_reduction,Positive,Direct (Phase 5: 28.7% lead share),Yes,SEO investment data,MEDIUM
S05,High-Potential Category Growth,Category,category_gmv_concentration,Increase top 5 category GMV by 20%,Increase,total_GMV; avg_price; seller_specialization,Positive,Direct (Phase 3: top 5 = 40.3% GMV),Yes,Category margin data,MEDIUM
S06,High-Quality Seller Proportion Increase,Seller Quality,seller_concentration,Increase top sellers (score≥4.5) by 30%,Increase,avg_delivery_time; review_score; platform_risk,Positive,Partial (Phase 4: 98 low-score sellers identified),Partial,Seller recruitment timeline,LOW
S07,Regional Logistics Improvement,Regional,state_late_rate_variation,Reduce worst states late rate from 15%+ to 8%,Decrease,state_score; activation_cost; market_expansion,Positive,Direct (Phase 4: 5 high-late states),Yes,Regional logistics cost data,HIGH
S08,Seller Activation Rate Improvement,Activation,seller_activation_rate,Increase from 45.1% to 55%,Increase,total_GMV; platform_revenue; channel_ROI,Positive,Direct (Phase 5: 380/842 active),Yes,Activation program cost data,HIGH
S09,Repeat Purchase Enhancement,Retention,repeat_purchase_rate,Increase from 3.4% to 8%,Increase,customer_lifetime_value; GMV_stability; CAC_reduction,Positive,Partial (Phase 3: current 3.4% baseline),Partial,Retention strategy costs,LOW
S10,Approval-to-Shipping Speed Improvement,Fulfillment,approval_to_shipping_days,Reduce from 2.80 to 2.0 days,Decrease,delivery_total_days; customer_satisfaction,Positive,Direct (Phase 4: bottleneck stage),Yes,Seller processing capability data,MEDIUM
