scenario_id,scenario_name,category,input_variable,baseline_value,simulated_value,impacted_metric,baseline_metric_value,simulated_metric_value,raw_simulated_value,estimated_change,estimated_change_pct,assumption_level,evidence_level,confidence,score_clamped,conservative_cap,notes,interpretation,validity_check_bounded,validity_check_extrapolation,validity_check_denominator_risk
S01,Late Delivery Optimization,Fulfillment,late_delivery_rate,8.11,4.0,review_score,4.16,4.265,4.265,0.1048,0,Data-Driven (Phase 4 correlation),OBSERVATIONAL_CORRELATION,MEDIUM,False,,Based on observed correlation; score clamped if boundary exceeded,Reducing late rate by 4.1pp → score +0.1048 pts,True,True,LOW - No denominator ambiguity
S01,Late Delivery Optimization,Fulfillment,late_delivery_rate,8.11,4.0,low_score_pct,12.71,12.07,,-0.64,0,Data-Driven (Phase 4 correlation),OBSERVATIONAL_CORRELATION,MEDIUM,False,,Secondary metric,,True,True,LOW - No denominator ambiguity
S02,Delivery Time Reduction,Fulfillment,delivery_total_days,12.56,10.0,review_score,4.16,4.46,5.015,0.3,0,Data-Driven (Phase 4 correlation -0.334),OBSERVATIONAL_CORRELATION,HIGH,False,0.3,Raw estimate: +0.8550 pts (would give 5.015 > 5.0). Calibrated to +0.3000 (max 0.3 increase). Low score reduction assumption: 2x relative score improvement.,Reducing delivery by 2.56 days → score +0.3000 pts (calibrated),True,True,LOW - No denominator ambiguity
S02,Delivery Time Reduction,Fulfillment,delivery_total_days,12.56,10.0,low_score_pct,12.71,10.88,,-1.83,0,Data-Driven (Phase 4 correlation -0.334),OBSERVATIONAL_CORRELATION,HIGH,False,0.3,Secondary metric,,True,True,LOW - No denominator ambiguity
S02,Delivery Time Reduction,Fulfillment,delivery_total_days,12.56,10.0,cancellation_risk_factor,1.019,0.661,,35.1,0,Data-Driven (Phase 4 correlation -0.334),OBSERVATIONAL_CORRELATION,HIGH,False,0.3,Tertiary metric,,True,True,LOW - No denominator ambiguity
S07,Regional Logistics Improvement,Regional,high_late_states_late_rate,15.0,8.0,regional_states_score,15.0,8.0,8.0,-7.0,0,Data-Driven (Phase 4 regional data),EXPERIENTIAL_ESTIMATE,MEDIUM,False,,Uses equal-weight approximation (18% order share); actual impact depends on state volumes,Reducing 5 states late rate by 7.0pp → overall score +0.032,True,False,MEDIUM - State order weights estimated
S07,Regional Logistics Improvement,Regional,high_late_states_late_rate,15.0,8.0,overall_score_impact,4.16,4.192,,0.0321,0,Data-Driven (Phase 4 regional data),EXPERIENTIAL_ESTIMATE,MEDIUM,False,,Secondary metric,,True,False,MEDIUM - State order weights estimated
S08,Seller Activation Rate Improvement,Activation,seller_activation_rate,45.1,55.0,seller_activation_rate,45.1,55.0,55.0,9.899999999999999,0,Data-Driven (Phase 5 activation data),ARITHMETIC_CALCULATION,HIGH,False,,"Additional GMV: R$169,454. Denominator clarification: Baseline closed seller GMV = R$775,816 (5.78% of platform R$13,412,108). New total = R$945,270 (7.05% of platform). Additional = 1.263% of platform GMV. Assumes new sellers perform like existing activated.","83 additional sellers → R$169,454 closed seller GMV (1.263% of platform R$13,412,108)",True,False,HIGH - Must distinguish closed seller GMV vs platform GMV
S08,Seller Activation Rate Improvement,Activation,seller_activation_rate,45.1,55.0,closed_seller_GMV,775815.63,945270.09,,169454.46,0,Data-Driven (Phase 5 activation data),ARITHMETIC_CALCULATION,HIGH,False,,Secondary metric,,True,False,HIGH - Must distinguish closed seller GMV vs platform GMV
S08,Seller Activation Rate Improvement,Activation,seller_activation_rate,45.1,55.0,platform_GMV_pct,5.78,7.05,,1.263,0,Data-Driven (Phase 5 activation data),ARITHMETIC_CALCULATION,HIGH,False,,Tertiary metric,,True,False,HIGH - Must distinguish closed seller GMV vs platform GMV
